bi	b_i
bu	b_u
bv	b_v
ba	b_a
bia	b_ia
bua	b_ua
bo	b_o
buo	b_uo
be	b_e
bie	b_ie
bue	b_ue
bve	b_ve
bai	b_ai
buai	b_uai
bei	b_ei
bui	b_ui
bao	b_ao
biao	b_iao
bou	b_ou
biu	b_iu
ban	b_an
bian	b_ian
buan	b_uan
ben	b_en
bin	b_in
bun	b_un
bang	b_ang
biang	b_iang
buang	b_uang
beng	b_eng
bing	b_ing
bueng	b_ueng
bong	b_ong
biong	b_iong
pi	p_i
pu	p_u
pv	p_v
pa	p_a
pia	p_ia
pua	p_ua
po	p_o
puo	p_uo
pe	p_e
pie	p_ie
pue	p_ue
pve	p_ve
pai	p_ai
puai	p_uai
pei	p_ei
pui	p_ui
pao	p_ao
piao	p_iao
pou	p_ou
piu	p_iu
pan	p_an
pian	p_ian
puan	p_uan
pen	p_en
pin	p_in
pun	p_un
pang	p_ang
piang	p_iang
puang	p_uang
peng	p_eng
ping	p_ing
pueng	p_ueng
pong	p_ong
piong	p_iong
mi	m_i
mu	m_u
mv	m_v
ma	m_a
mia	m_ia
mua	m_ua
mo	m_o
muo	m_uo
me	m_e
mie	m_ie
mue	m_ue
mve	m_ve
mai	m_ai
muai	m_uai
mei	m_ei
mui	m_ui
mao	m_ao
miao	m_iao
mou	m_ou
miu	m_iu
man	m_an
mian	m_ian
muan	m_uan
men	m_en
min	m_in
mun	m_un
mang	m_ang
miang	m_iang
muang	m_uang
meng	m_eng
ming	m_ing
mueng	m_ueng
mong	m_ong
miong	m_iong
fi	f_i
fu	f_u
fv	f_v
fa	f_a
fia	f_ia
fua	f_ua
fo	f_o
fuo	f_uo
fe	f_e
fie	f_ie
fue	f_ue
fve	f_ve
fai	f_ai
fuai	f_uai
fei	f_ei
fui	f_ui
fao	f_ao
fiao	f_iao
fou	f_ou
fiu	f_iu
fan	f_an
fian	f_ian
fuan	f_uan
fen	f_en
fin	f_in
fun	f_un
fang	f_ang
fiang	f_iang
fuang	f_uang
feng	f_eng
fing	f_ing
fueng	f_ueng
fong	f_ong
fiong	f_iong
di	d_i
du	d_u
dv	d_v
da	d_a
dia	d_ia
dua	d_ua
do	d_o
duo	d_uo
de	d_e
die	d_ie
due	d_ue
dve	d_ve
dai	d_ai
duai	d_uai
dei	d_ei
dui	d_ui
dao	d_ao
diao	d_iao
dou	d_ou
diu	d_iu
dan	d_an
dian	d_ian
duan	d_uan
den	d_en
din	d_in
dun	d_un
dang	d_ang
diang	d_iang
duang	d_uang
deng	d_eng
ding	d_ing
dueng	d_ueng
dong	d_ong
diong	d_iong
ti	t_i
tu	t_u
tv	t_v
ta	t_a
tia	t_ia
tua	t_ua
to	t_o
tuo	t_uo
te	t_e
tie	t_ie
tue	t_ue
tve	t_ve
tai	t_ai
tuai	t_uai
tei	t_ei
tui	t_ui
tao	t_ao
tiao	t_iao
tou	t_ou
tiu	t_iu
tan	t_an
tian	t_ian
tuan	t_uan
ten	t_en
tin	t_in
tun	t_un
tang	t_ang
tiang	t_iang
tuang	t_uang
teng	t_eng
ting	t_ing
tueng	t_ueng
tong	t_ong
tiong	t_iong
ni	n_i
nu	n_u
nv	n_v
na	n_a
nia	n_ia
nua	n_ua
no	n_o
nuo	n_uo
ne	n_e
nie	n_ie
nue	n_ue
nve	n_ve
nai	n_ai
nuai	n_uai
nei	n_ei
nui	n_ui
nao	n_ao
niao	n_iao
nou	n_ou
niu	n_iu
nan	n_an
nian	n_ian
nuan	n_uan
nen	n_en
nin	n_in
nun	n_un
nang	n_ang
niang	n_iang
nuang	n_uang
neng	n_eng
ning	n_ing
nueng	n_ueng
nong	n_ong
niong	n_iong
li	l_i
lu	l_u
lv	l_v
la	l_a
lia	l_ia
lua	l_ua
lo	l_o
luo	l_uo
le	l_e
lie	l_ie
lue	l_ue
lve	l_ve
lai	l_ai
luai	l_uai
lei	l_ei
lui	l_ui
lao	l_ao
liao	l_iao
lou	l_ou
liu	l_iu
lan	l_an
lian	l_ian
luan	l_uan
len	l_en
lin	l_in
lun	l_un
lang	l_ang
liang	l_iang
luang	l_uang
leng	l_eng
ling	l_ing
lueng	l_ueng
long	l_ong
liong	l_iong
gi	g_i
gu	g_u
gv	g_v
ga	g_a
gia	g_ia
gua	g_ua
go	g_o
guo	g_uo
ge	g_e
gie	g_ie
gue	g_ue
gve	g_ve
gai	g_ai
guai	g_uai
gei	g_ei
gui	g_ui
gao	g_ao
giao	g_iao
gou	g_ou
giu	g_iu
gan	g_an
gian	g_ian
guan	g_uan
gen	g_en
gin	g_in
gun	g_un
gang	g_ang
giang	g_iang
guang	g_uang
geng	g_eng
ging	g_ing
gueng	g_ueng
gong	g_ong
giong	g_iong
ki	k_i
ku	k_u
kv	k_v
ka	k_a
kia	k_ia
kua	k_ua
ko	k_o
kuo	k_uo
ke	k_e
kie	k_ie
kue	k_ue
kve	k_ve
kai	k_ai
